pop,Elev_class,Elev_m,Latitude,Longitude,timeframe,Season,Gowers_Dist,conf.low,conf.high
WL3,high,2138,38.83528,-120.23824,Recent,Water Year,0.07849700298248408,0.016692354611954993,0.08657610463122604
WL2,high,2020,38.8263,-120.25242,Recent,Water Year,0.09130776478563168,0.030818984450932875,0.09881997324061895
SQ3,high,2373,36.72109,-118.84933,Recent,Water Year,0.1175643562508359,0.06039266975813042,0.1531972425762372
YOSE1,high,2141,37.66374,-119.62484,Recent,Water Year,0.15411406429726368,0.10301288911239534,0.19100995837942783
WL1,mid,1614,38.78608,-120.2143,Recent,Water Year,0.19634303934346972,0.14810606910037952,0.21449852302767977
LV2,high,2500,40.46563,-121.51487,Recent,Water Year,0.2443525055169745,0.186835052260492,0.29420786740575006
DPR,mid,1019,39.22846,-120.81518,Recent,Water Year,0.387626327462545,0.3599793783577456,0.4133516782176435
TM2,low,379,39.59255,-121.55072,Recent,Water Year,0.4614288408738294,0.4167943466803933,0.5112608565767071
IH,low,454,39.09332,-120.92114,Recent,Water Year,0.4921151741844687,0.45402569140772253,0.5379720310794152
SC,low,422,38.41167,-120.73583000000001,Recent,Water Year,0.5740223942269399,0.5361020016660761,0.6217682158853063
BH,low,511,37.40985,-119.96458,Recent,Water Year,0.657680324156856,0.6143683874901633,0.7149476329158966
WL3,high,2138,38.83528,-120.23824,Historic,Water Year,0.09793844221656454,0.0328030885483484,0.11715590167824574
WL2,high,2020,38.8263,-120.25242,Historic,Water Year,0.11788202438722604,0.05677067805969467,0.14039190038107108
YOSE1,high,2141,37.66374,-119.62484,Historic,Water Year,0.1695801485593443,0.1146760804169413,0.2045619777612264
SQ3,high,2373,36.72109,-118.84933,Historic,Water Year,0.19454199897282265,0.14929668828664702,0.23998824613519718
WL1,mid,1614,38.78608,-120.2143,Historic,Water Year,0.2510131540428418,0.18960634404158178,0.2959791703283016
LV2,high,2500,40.46563,-121.51487,Historic,Water Year,0.2557310503784303,0.20078856136342693,0.2866280214104673
DPR,mid,1019,39.22846,-120.81518,Historic,Water Year,0.440716409522711,0.39995600884165944,0.49003828844929737
IH,low,454,39.09332,-120.92114,Historic,Water Year,0.5086262971321867,0.45835517613007704,0.5565207159865924
TM2,low,379,39.59255,-121.55072,Historic,Water Year,0.5212818354617941,0.4792129192525419,0.5736988720184284
SC,low,422,38.41167,-120.73583000000001,Historic,Water Year,0.622324648922606,0.5750911797243766,0.6825599000830832
BH,low,511,37.40985,-119.96458,Historic,Water Year,0.715431117205117,0.6650311625773295,0.7890969908589245
